Title,Company,Company Link,Date Posted,Job Link,Insights,Description Snippet
Communications Strategy Intern,the LEGO Group,,2024-02-15,https://sg.linkedin.com/jobs/view/communications-strategy-intern-at-the-lego-group-3830475273?position=1&pageNum=0&refId=Tvtz9nXHpP3rcD6YENldsQ%3D%3D&trackingId=sSuiJXo%2F5S5fBVJjsflCXQ%3D%3D&trk=public_jobs_jserp-result_search-card,[],"Job Description

Are you detailed and meticulous who enjoys building your capabilities in a global organisation? We need employees, all eager to engage actively in building a successful department, valuing collaboration, quality and fun in the everyday life!

We are hiring for a Communications Strategy Intern from April 2024 with a minimum commitment of 4 months. Please indicate your available dates in your Cover Letter and submit your CV together with unofficial transcripts.


Core Responsibili"
Content Creator Intern,the LEGO Group,,2024-02-15,https://sg.linkedin.com/jobs/view/content-creator-intern-at-the-lego-group-3830473945?position=2&pageNum=0&refId=Tvtz9nXHpP3rcD6YENldsQ%3D%3D&trackingId=KeEex%2FJ39jy%2FTtiH4ykUbQ%3D%3D&trk=public_jobs_jserp-result_search-card,[],"Job Description

Are you detailed and meticulous who enjoys building your capabilities in a global organisation? We need employees, all eager to engage actively in building a successful department, valuing collaboration, quality and fun in the everyday life!

We are hiring for a Content Creator Intern from July 2024 with a minimum commitment of 4 months. Please indicate your available dates in your Cover Letter and submit your CV together with unofficial transcripts.


Core Responsibilities




"
Product Marketing Intern,Parfums Christian Dior,,2024-02-21,https://sg.linkedin.com/jobs/view/product-marketing-intern-at-parfums-christian-dior-3835533725?position=3&pageNum=0&refId=Tvtz9nXHpP3rcD6YENldsQ%3D%3D&trackingId=RQmwy1YR%2FwnO0w6%2B0Jhavw%3D%3D&trk=public_jobs_jserp-result_search-card,[],"THE CONTEXT _________

Since 1947, the men and women of Parfums Christian Dior have embodied the founding ""couturier-perfumer's"" unique spirit of excellence, creativity and expertise, both in France and throughout the world. Our House is an open and highly-focused collective, a leader that thrives on the creativity of all its stakeholders. Our collective passion and our heritage, full of authenticity and dream, make us move forward and reinvent ourselves. By revolutionizing the codes of French s"
Social Responsibility Intern,the LEGO Group,,2024-02-23,https://sg.linkedin.com/jobs/view/social-responsibility-intern-at-the-lego-group-3837048516?position=4&pageNum=0&refId=Tvtz9nXHpP3rcD6YENldsQ%3D%3D&trackingId=8x1QR73ukd7d5zM02ffM%2FQ%3D%3D&trk=public_jobs_jserp-result_search-card,[],"Job Description

Are you an advocate of learning through play and believe that all children should have equal access to such opportunities?

Leverage your unique blend of skills and knowledge to support the LEGO Group’s efforts to be a global force for learning through play.


Core Responsibilities





Execution of various planning, administrative and logistical tasks, including the coordination with charity partners, in support of the implementation of the LEGO Group’s local community engageme"
Economics Intern (m/f/x),Toloka,,2024-03-02,https://sg.linkedin.com/jobs/view/economics-intern-m-f-x-at-toloka-3841412556?position=7&pageNum=0&refId=Tvtz9nXHpP3rcD6YENldsQ%3D%3D&trackingId=3Fi9X7Iuv5JR7x00eoBaPw%3D%3D&trk=public_jobs_jserp-result_search-card,[],"We are embarking on a large-scale project with a leading technology company to develop an AI system with a deep understanding of the humanities. This part-time, fully remote project offers a unique opportunity to influence the role of AI in philosophy, religion, languages, history, language arts, performing arts, and visual arts.

As an AI Tutor — Domain Expert, your work will involve creating and refining AI-generated content to ensure accuracy, relevance, and engagement across a wide array of "
Data Analyst Intern,foodpanda,,2024-02-26,https://sg.linkedin.com/jobs/view/data-analyst-intern-at-foodpanda-3537334509?position=8&pageNum=0&refId=Tvtz9nXHpP3rcD6YENldsQ%3D%3D&trackingId=lteE41FCE4p%2BQKyMYmJXRw%3D%3D&trk=public_jobs_jserp-result_search-card,[],"""To be the most loved everyday food and groceries destination!"" - that’s our mission at foodpanda (small ‘f’).

foodpanda is the largest food and grocery delivery platform in Asia, outside of China. Operating in more than 400 cities across 11 markets, we continue to expand and grow in our core food delivery business, as well as in new verticals like grocery deliveries, with a strong tech infrastructure at our core. From our restaurants-partners, cloud kitchens and cloud grocery stores — foodpand"
Intern Digital Business Management (Summer) - Porsche Services Singapore Pte Ltd,Porsche Asia Pacific Pte Ltd,,2024-02-07,https://sg.linkedin.com/jobs/view/intern-digital-business-management-summer-porsche-services-singapore-pte-ltd-at-porsche-asia-pacific-pte-ltd-3824643620?position=9&pageNum=0&refId=Tvtz9nXHpP3rcD6YENldsQ%3D%3D&trackingId=nDHPFQeYaUlUaeC3Y1%2BZUw%3D%3D&trk=public_jobs_jserp-result_search-card,[],"Support the management in daily operations, including the preparation of management-level presentations
Contribute to the development of our digital solution portfolio
Create sales reporting and generate data-driven recommendations
Take over partial projects and complete them independently
Participate in the coordination and communication of brand and sales activities
Assist in planning and organization of activations and events
Close liaison with vendors, internal and external stakeholders


Re"
Data Analyst Intern (6 Months),Decathlon Singapore,,2024-02-09,https://sg.linkedin.com/jobs/view/data-analyst-intern-6-months-at-decathlon-singapore-3821135530?position=10&pageNum=0&refId=Tvtz9nXHpP3rcD6YENldsQ%3D%3D&trackingId=apScZ24C6S0MuRnf4GEjDg%3D%3D&trk=public_jobs_jserp-result_search-card,[],"Who we are

Decathlon is an international sporting goods creator and retailer with more than 60 in-house brands, sold through more than 1650 stores in 50 countries. Decathlon Singapore is looking for enthusiastic and proactive Data Interns to join our data team and create data-driven solutions relating to retail analytics, consumer analytics and sports analytics. You can expect to hone your data analytics skills and develop your data analytics journey here with us in this sports & retail industr"
Training & Events Intern (6 months),LVMH,,2024-02-20,https://sg.linkedin.com/jobs/view/training-events-intern-6-months-at-lvmh-3830967414?position=14&pageNum=0&refId=Tvtz9nXHpP3rcD6YENldsQ%3D%3D&trackingId=Y8ZAz3VBLrSTZD4p9oEu4Q%3D%3D&trk=public_jobs_jserp-result_search-card,[],"About the Company

LVMH is the world leader in luxury.

A family group founded in 1987 and headed by Chairman and CEO Bernard Arnault, LVMH is now home to 75 iconic Maisons, which embody a distinctive art de vivre blending heritage and modernity. With reported sales of 86.2 billion euros in 2023 and 6000 stores around the world, we are the only group present in all major sectors of the luxury industry: Wines & Spirits, Fashion & Leather Goods, Perfumes & Cosmetics, Watches & Jewelry, and Selecti"
"Intern, Private Banking [Immediate Start, For At Least 3 Months]",CIMB Singapore,,2024-02-15,https://sg.linkedin.com/jobs/view/intern-private-banking-immediate-start-for-at-least-3-months-at-cimb-singapore-3831023006?position=15&pageNum=0&refId=Tvtz9nXHpP3rcD6YENldsQ%3D%3D&trackingId=X4czMD%2B1CA9v6l%2FVZCiziQ%3D%3D&trk=public_jobs_jserp-result_search-card,[],"CIMB Group is a leading ASEAN universal bank, one of the largest Asian investment banks and one of the world's largest Islamic banks. CIMB Bank Singapore offers banking solutions catered to your every financial need with our consumer banking, commercial banking, Islamic banking and asset management products and services.




At CIMB, we believe that our people are our greatest assets in realising our vision of becoming Southeast Asia’s most valued universal bank. We offer an environment that is "
